"parameter","mean","sd","q025","q50","q975"
"alpha",0.953880545997018,0.21244569535742,0.558331429440067,0.944752785940915,1.38627250309987
"beta",1.36275054355113,0.468743442777215,0.850742109108491,1.25879963190697,2.45985035356843
"gamma",1.47314530574644,0.946156878287843,0.115801939953518,1.33357862464701,3.5727476455568
"mu",0.945802636559091,0.509444946662262,0.27097400089736,0.836598210984763,2.23470121308088
