"parameter","mean","sd","q025","q50","q975"
"alpha",1.6898573399548,0.359236427177237,1.24779629620439,1.59651485109925,2.63479475349905
"beta",1.65853847959284,0.93676842733266,0.688163778511312,1.38331774813381,4.37190623805062
"gamma",1.67494215978603,0.910966782720763,0.250822738624899,1.55516221339898,3.71722374559523
"mu",0.979664257764548,0.624529043109256,0.240604632990836,0.822604171240451,2.60347809166155
