"year","site","cover"
1999,1,9.79
1999,2,31.4
1999,3,40.05
2000,1,9.02
2000,2,25.49
2000,3,34.45
2001,1,8.2
2001,2,28.14
2001,3,23.02
2002,1,9.74
2002,2,11.12
2002,3,11.21
2003,1,11.84
2003,2,12.91
2003,3,13.99
2004,1,14.21
2004,2,17.84
2004,3,13.39
2006,1,29.22
2006,2,22.78
2006,3,18
2008,1,45.1
2008,2,39.5
2008,3,30.3
2010,1,47.6
2010,2,52.7
2010,3,50.85
2012,1,59.3
2012,2,66.3
2012,3,63.2
