"parameter","mean","sd","q025","q50","q975"
"alpha",0.778631726595021,0.107532059882097,0.551185580085591,0.788561700685085,0.958150588959515
"beta",0.442388316109904,0.0435506691447003,0.362481692203278,0.44066820121536,0.538718317600823
"gamma",0.386487974407446,0.451033925722452,0.0152206552809556,0.227394459306378,1.7442099866546
"mu",1.07215405493512,0.599450559082435,0.491603689417469,0.882691777431664,2.86011758060203
