"parameter","mean","sd","q025","q50","q975"
"alpha",0.957656882044859,0.227958654222994,0.669012697687538,0.932910757987332,1.45146253052745
"beta",0.549550205500409,0.6390103551986,0.238103412086726,0.361856644090229,2.55244611503895
"gamma",0.427731946313589,0.639392515072695,0.00344486772707532,0.155548223608991,2.30086432816632
"mu",1.71799208525752,1.00438520665824,0.244015688617443,1.58177572327199,4.1079013207872
