"Reef","alpha","beta","gamma","mu"
"One Tree Reef",1.6898573399548,1.65853847959284,1.67494215978603,0.979664257764548
"Lady Musgrave Reef",1.50332458299922,1.42225012640131,1.34990434547744,0.886739819805484
