"parameter","mean","sd","q025","q50","q975"
"alpha",0.270656031570683,0.0557983407117548,0.191137144036421,0.25924110134732,0.407840809253642
"beta",0.0453560523487048,0.0425345098866866,0.00130419550840771,0.033764212660683,0.153396464368804
"gamma",0.125431116351854,0.182447858127805,0.00215370919144253,0.0627302534037435,0.605603412478942
"mu",1.32379699120124,0.772440076404205,0.467688017379902,1.09712365769593,3.38172346560296
