"parameter","mean","sd","q025","q50","q975"
"alpha",0.402872759333113,0.318409807419502,0.134229219503682,0.318654527571907,1.25505393864065
"beta",0.570029823938973,1.00614439059592,0.014420421259273,0.257305482416553,3.95410478077822
"gamma",1.22968110476543,0.838029474778997,0.0995926333587417,1.09620488572385,3.20242560866147
"mu",1.29182379326786,0.887930553201342,0.0647774586315104,1.15061317940564,3.34901189437151
