Reef,YearStart,YearEnd,SitesIncluded,alpha,beta,gamma,mu,alpha_lo,alpha_hi,beta_lo,beta_hi,gamma_lo,gamma_hi,mu_lo,mu_hi
North Direction Reef,1993,2012,"1,2,3",0.3912793771036,0.279612487834682,0.0763082930533456,0.321656203603996,0,0.85880837381478,0.0192333883265136,0.53999158734285,0,0.339011823654839,0.189030440297799,0.454281966910193
Chicken Reef,2009,2023,"1,2,3",0.598165781730073,0.265202318541426,2.37612891027616e-14,0.540178936672944,0.276405553505801,0.919926009954345,0.0941632727716895,0.436241364311162,0,0.128473968930948,0.269995114987611,0.810362758358276
Turner Reef,2002,2017,"1,2,3",0.454050858803084,0.206954092523949,2.2230192054272e-14,0.0615770169556073,0,5.42037521951291,0,2.62874680595482,0,0.832881357664094,0,0.557265017376224
Chinaman Reef,1992,2004,"1,2,3",1.22006105104693,0.741570873448532,2.44758944640412e-14,0.303974406795291,0.927463240540665,1.51265886155319,0.26150799332415,1.22163375357291,0,0.269364812810202,0.0695320933673092,0.538416720223273
SNAKE (22088),1994,2008,"1,2,3",0.880630484857683,0.44739390452986,0.0559222614424246,0.552550671105988,0.720192508777873,1.04106846093749,0.396625626367245,0.498162182692475,0,0.217831628192659,0.311017786417953,0.794083555794023
HORSESHOE,1999,2012,"1,2,3",0.234316598943848,2.22044901840053e-14,2.34260607185892e-14,0.651488477957222,0,0.908775983678361,0,0.388129246014933,0,0.524811840490858,0.0274844589227473,1.2754924969917
Broomfield Reef,2008,2022,"1,2,3",1.07850590123431,0.427740999713485,4.24638200778413e-14,0.485526172700896,0.795534224186496,1.36147757828212,0.337103581468383,0.518378417958587,0,0.167896072923972,0,1.11035157267125
One Tree Reef,1992,2006,"1,2,3",2.4034042227972,1.24465105759911,0.00864466789210394,0.0386755062379927,0,5.87296122912038,0,3.27964808963217,0,0.306462427011943,0,0.527733039218478
Lady Musgrave Reef,1992,2007,"1,2,3",3.27934173917279,2.06224031682618,0.0252693225768819,2.08038573973537e-05,2.33411267181004,4.22457080653554,1.55790023913657,2.56658039451579,0,0.14572945920819,0,0.0917604928329208
