"parameter","mean","sd","q025","q50","q975"
"alpha",0.483329505079216,0.105783859481528,0.258650166251874,0.496295654997576,0.66209965586383
"beta",0.209574427141853,0.0702303406193757,0.0565573187558898,0.215557572228108,0.337627356124264
"gamma",0.119170296349056,0.130381467551681,0.00300967034174071,0.0778401947018225,0.473208715644524
"mu",0.817435528541761,0.333643436815864,0.432213661720964,0.740045568862135,1.67766594146755
