"year","site","cover"
2002,1,5
2002,2,8.38
2002,3,27.35
2003,1,3.8
2003,2,9.83
2003,3,25.09
2004,1,5.6
2004,2,11.23
2004,3,28.33
2006,1,7.72
2006,2,13.84
2006,3,26.17
2008,1,12
2008,2,19.5
2008,3,25.9
2010,1,15.9
2010,2,18
2010,3,18.6
2012,1,22.5
2012,2,19
2012,3,25.4
2014,1,36.8
2014,2,32.4
2014,3,33.4
2017,1,40
2017,2,40.3
2017,3,36
