"parameter","mean","sd","q025","q50","q975"
"alpha",1.50332458299922,0.58911946189644,0.989642159836047,1.25665997314173,3.13195458044782
"beta",1.42225012640131,1.28066262674566,0.349917728163803,0.887415023303327,5.03819547441666
"gamma",1.34990434547744,0.88266523111955,0.151187391132688,1.18496099957051,3.44245601984669
"mu",0.886739819805484,0.830424296253489,0.0577181538000269,0.575547341510321,3.03357618379351
